,Unnamed: 0,ResponseId,ConvertedCompYearly,C++,HTML/CSS,JavaScript,Objective-C,PHP,Swift,Python,Assembly,C,R,Rust,TypeScript,Bash/Shell,SQL,C#,Java,Node.js,PowerShell,Ruby,Perl,Matlab,Kotlin,Julia,Haskell,Delphi,Go,Scala,Dart,VBA,Groovy,Clojure,APL,LISP,F#,Elixir,Erlang,Crystal,COBOL,PostgreSQL,SQLite,Elasticsearch,Redis,MySQL,Microsoft SQL Server,Oracle,MongoDB,MariaDB,DynamoDB,Couchbase,Firebase,Cassandra,IBM DB2,Laravel,Symfony,Angular,Flask,Vue.js,jQuery,Express,React.js,Angular.js,Ruby on Rails,Django,FastAPI,ASP.NET Core ,Spring,Svelte,ASP.NET,Gatsby,Drupal,Heroku,Microsoft Azure,AWS,Google Cloud Platform,DigitalOcean,Oracle Cloud Infrastructure,IBM Cloud or Watson
Assembly,0.1039,0.1039,0.0413,0.0,0.9279,0.0409,0.0,0.3211,0.1124,0.0,0.0,0.0,0.0015,0.0,0.0008,0.0,0.0244,0.0452,0.0,0.9994,0.0021,0.6692,0.0,0.0,0.0844,0.0,0.0,0.0,0.0,0.0367,0.1188,0.0001,0.1022,0.3826,0.0466,0.0,0.0019,0.0023,0.0,0.0699,0.0,0.3787,0.0,0.1919,0.0833,0.0065,0.0011,0.0257,0.0057,0.0,0.2908,0.0619,0.4165,0.1946,0.1336,0.1233,0.0223,0.0577,0.0,0.3687,0.6224,0.2912,0.0022,0.5222,0.2641,0.0923,0.0473,0.0229,0.2684,0.1368,0.2623,0.3098,0.0005,0.8123,0.5929,0.1153,0.0216,0.0001,0.6405,0.0
C,0.0011,0.0011,0.0001,0.0,0.0,0.0,0.0,0.0684,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.2264,0.0,0.0297,0.0058,0.2876,0.0,0.0,0.0128,0.0,0.0,0.0,0.0,0.3865,0.0026,0.0669,0.1271,0.0158,0.0924,0.0,0.1403,0.4885,0.0,0.0241,0.0,0.034,0.0,0.1656,0.0087,0.0436,0.0,0.2335,0.162,0.0,0.0011,0.0084,0.4288,0.0619,0.4518,0.0998,0.0517,0.0,0.0,0.016,0.0203,0.1197,0.0,0.0488,0.0001,0.004,0.0227,0.0,0.0681,0.0251,0.0,0.0131,0.011,0.0012,0.0,0.0,0.0332,0.0166,0.0001,0.0
R,0.0201,0.0201,0.0094,0.0019,0.0193,0.0,0.898,0.0919,0.588,0.0,0.0015,0.0002,0.0,0.4609,0.0,0.0,0.0,0.0,0.0977,0.0,0.6322,0.5433,0.0,0.0,0.0134,0.0,0.0,0.8538,0.3983,0.0,0.9234,0.0,0.8279,0.9366,0.0202,0.0,0.2111,0.0538,0.2779,0.0841,0.0,0.0021,0.0,0.5436,0.002,0.0,0.1052,0.0,0.3581,0.0638,0.0788,0.144,0.9101,0.3273,0.0163,0.0487,0.143,0.0063,0.0,0.0005,0.0121,0.0003,0.0,0.2015,0.318,0.0007,0.0008,0.0,0.9566,0.8724,0.0,0.3649,0.6953,0.3626,0.2027,0.0406,0.0001,0.4454,0.0001,0.0002
Rust,0.0,0.0,0.0,0.0,0.0043,0.1072,0.449,0.0087,0.0028,0.0,0.0,0.0,0.4609,0.0,0.0,0.0,0.0,0.0,0.0113,0.0032,0.3407,0.0007,0.0638,0.4752,0.0,0.0,0.0,0.0653,0.0,0.0,0.018,0.0006,0.7255,0.0062,0.0909,0.0,0.0001,0.0,0.0,0.004,0.8046,0.0,0.0,0.0,0.0,0.1456,0.0,0.0002,0.004,0.0008,0.0543,0.0255,0.0811,0.0,0.0073,0.2936,0.7444,0.0074,0.0,0.6765,0.0,0.0327,0.0029,0.1029,0.3259,0.0094,0.0,0.0,0.8629,0.0,0.0,0.117,0.7105,0.411,0.0091,0.0001,0.0,0.0,0.6126,0.7324
TypeScript,0.0037,0.0037,0.0375,0.0,0.0,0.0,0.006,0.0007,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.3491,0.0,0.0,0.0,0.0,0.0,0.0302,0.0,0.0001,0.0,0.0049,0.1775,0.0142,0.0,0.0237,0.0,0.0111,0.0122,0.0273,0.6976,0.9642,0.0,0.0443,0.2339,0.8872,0.9747,0.0,0.0711,0.0,0.0,0.0,0.0,0.0407,0.0,0.243,0.0,0.0012,0.0,0.8195,0.7753,0.0054,0.1986,0.0,0.3409,0.0,0.0,0.0,0.0,0.0,0.0474,0.9019,0.2098,0.0,0.0,0.0,0.0,0.0,0.5477,0.0,0.0,0.0,0.0,0.0,0.0713,0.3661
Bash/Shell,0.0276,0.0276,0.0,0.0,0.0,0.0,0.0012,0.0,0.5217,0.0,0.0,0.0,0.0,0.0,0.3491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0232,0.0032,0.0,0.0013,0.0,0.0,0.1826,0.5871,0.0,0.0038,0.271,0.0,0.3947,0.0192,0.0053,0.0105,0.1433,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0146,0.7675,0.0,0.3957,0.3498,0.0,0.0,0.0,0.2943,0.7359,0.0,0.0012,0.5696,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0148,0.0001,0.0,0.1213,0.0,0.0,0.0,0.0001,0.0039
SQL,0.2084,0.2084,0.0,0.0,0.0,0.0,0.0491,0.0,0.0014,0.4558,0.0244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.2213,0.0021,0.2198,0.0327,0.3286,0.0047,0.2975,0.0,0.0085,0.0176,0.6396,0.9121,0.0048,0.439,0.5704,0.0267,0.0121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1577,0.0,0.139,0.0409,0.7059,0.2615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0006,0.0,0.0,0.0,0.2338,0.0,0.0,0.1125,0.0,0.66,0.0,0.0105,0.0,0.0,0.0001,0.0002,0.0364,0.4095
C#,0.5882,0.5882,0.0,0.0007,0.0,0.0,0.4036,0.1056,0.1225,0.0,0.0452,0.2264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3203,0.0,0.0,0.0034,0.1714,0.0004,0.0031,0.0457,0.0,0.0,0.0,0.0101,0.0,0.0001,0.0,0.2207,0.0019,0.0,0.0,0.0711,0.6464,0.0003,0.0,0.0271,0.0001,0.0,0.0008,0.0,0.0001,0.5477,0.0,0.0,0.2616,0.519,0.0134,0.0157,0.0041,0.4443,0.0,0.0,0.1845,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8958,0.0,0.0076,0.7289,0.0,0.0,0.0,0.0,0.0,0.1047,0.4432
Java,0.3187,0.3187,0.0,0.0,0.2324,0.0,0.0,0.2668,0.0,0.0,0.0,0.0,0.0977,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.6849,0.0553,0.0,0.3019,0.0,0.5387,0.0133,0.5836,0.0,0.0,0.0,0.8568,0.0,0.0001,0.9596,0.0009,0.4335,0.0041,0.9463,0.2945,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454,0.5094,0.0,0.0142,0.2665,0.0002,0.0,0.0,0.0,0.0,0.7192,0.8497,0.0,0.0,0.0346,0.0,0.6831,0.0004,0.8913,0.0004,0.0,0.0,0.6948,0.0005,0.0255
Node.js,0.4061,0.4061,0.1419,0.0012,0.0,0.0,0.0,0.0,0.0,0.0105,0.9994,0.0297,0.0,0.0032,0.0,0.0,0.0,0.3203,0.0,0.0,0.0,0.0,0.6948,0.002,0.0,0.01,0.0384,0.1893,0.0,0.1856,0.0,0.0139,0.0,0.0579,0.1197,0.09,0.0232,0.0009,0.0408,0.6628,0.2886,0.0,0.0,0.0,0.0,0.0,0.1556,0.3974,0.0,0.0,0.0,0.0,0.0,0.0279,0.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1113,0.0038,0.0,0.0,0.0356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7981,0.0001
PowerShell,0.3378,0.3378,0.0,0.0017,0.0,0.0,0.6132,0.001,0.1062,0.043,0.0021,0.0058,0.6322,0.3407,0.0,0.0,0.0,0.0,0.6849,0.0,0.0,0.0,0.0003,0.0136,0.0611,0.1519,0.4908,0.0192,0.4888,0.2533,0.934,0.0,0.0032,0.0,0.4123,0.2296,0.0,0.0004,0.4156,0.5768,0.0002,0.0,0.0,0.0005,0.4788,0.0214,0.0,0.0,0.0038,0.0139,0.876,0.8171,0.5914,0.5831,0.0,0.2042,0.0078,0.0,0.4082,0.0061,0.0,0.4334,0.0054,0.0,0.0,0.4503,0.2181,0.0,0.139,0.8333,0.0,0.8896,0.031,0.0,0.0,0.0,0.0006,0.0016,0.6237,0.4072
Ruby,0.152,0.152,0.0,0.0,0.0,0.0,0.0008,0.2384,0.0016,0.0009,0.6692,0.2876,0.5433,0.0007,0.0302,0.0,0.0002,0.0,0.0553,0.0,0.0,0.0,0.0009,0.0027,0.6335,0.3099,0.0016,0.0841,0.0,0.0539,0.0547,0.0,0.2202,0.0852,0.0502,0.0001,0.3089,0.0,0.0,0.0,0.6462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223,0.0,0.0,0.3588,0.0784,0.4162,0.0055,0.9981,0.3516,0.0,0.4096,0.0,0.0,0.0014,0.0,0.0791,0.0,0.1379,0.0143,0.0,0.3109,0.0078,0.0,0.0,0.1241,0.0,0.0,0.0,0.0,0.0,0.1091,0.1537
Perl,0.1016,0.1016,0.0012,0.0,0.133,0.7086,0.0,0.0,0.0303,0.0,0.0,0.0,0.0,0.0638,0.0,0.0,0.0,0.0034,0.0,0.6948,0.0003,0.0009,0.0,0.0,0.9847,0.1881,0.0,0.0208,0.0,0.1908,0.2998,0.0149,0.0045,0.5458,0.0761,0.0,0.1806,0.1908,0.0094,0.3629,0.0,0.0084,0.0,0.0,0.1872,0.0,0.0558,0.0,0.3242,0.0,0.9433,0.0031,0.2227,0.0006,0.1468,0.0035,0.0,0.0445,0.0011,0.3743,0.0,0.1788,0.0,0.0033,0.2215,0.0119,0.8924,0.0001,0.0038,0.9913,0.0167,0.977,0.0,0.3051,0.0515,0.7434,0.0095,0.0414,0.0005,0.0
Matlab,0.9433,0.9433,0.0031,0.0,0.0022,0.0,0.9134,0.604,0.1654,0.0,0.0,0.0,0.0,0.4752,0.0001,0.0009,0.0,0.1714,0.3019,0.002,0.0136,0.0027,0.0,0.0,0.7457,0.0,0.0002,0.7475,0.4431,0.699,0.2302,0.0,0.7708,0.1328,0.0105,0.0206,0.1595,0.1493,0.8492,0.336,0.0001,0.0037,0.0068,0.016,0.0005,0.528,0.0438,0.0633,0.0097,0.3362,0.0296,0.0066,0.0311,0.4604,0.9996,0.2899,0.5312,0.0236,0.0001,0.0097,0.3461,0.2265,0.0,0.9198,0.0008,0.0,0.002,0.0006,0.3431,0.2548,0.0117,0.4112,0.6197,0.3488,0.4778,0.0001,0.0594,0.1836,0.0188,0.0
Kotlin,0.06,0.06,0.0,0.3495,0.0846,0.6435,0.0,0.6296,0.0,0.0124,0.0844,0.0128,0.0134,0.0,0.0,0.0232,0.2213,0.0004,0.0,0.0,0.0611,0.6335,0.9847,0.7457,0.0,0.6767,0.0,0.7013,0.0004,0.0002,0.0,0.0016,0.0,0.6766,0.3726,0.0556,0.7486,0.0127,0.0061,0.9482,0.3487,0.0082,0.0,0.0,0.0016,0.0,0.0,0.5963,0.0,0.4037,0.0,0.0965,0.0,0.0004,0.3806,0.8702,0.481,0.0002,0.9536,0.0962,0.0,0.0019,0.0003,0.2456,0.2115,0.2508,0.4076,0.0,0.0,0.0,0.0,0.2909,0.62,0.0834,0.3025,0.0,0.0,0.7281,0.7608,0.4378
Julia,0.0,0.0,0.4432,0.0,0.0007,0.0,0.7655,0.2759,0.6706,0.0,0.0,0.0,0.0,0.0,0.0049,0.0032,0.0021,0.0031,0.5387,0.01,0.1519,0.3099,0.1881,0.0,0.6767,0.0,0.0,0.9467,0.8015,0.0019,0.2419,0.9074,0.3348,0.1693,0.0,0.0,0.0,0.0106,0.0003,0.1438,0.4262,0.8972,0.0008,0.5893,0.5951,0.3188,0.0004,0.4217,0.6611,0.3531,0.6872,0.1614,0.7567,0.3116,0.7816,0.495,0.2748,0.0187,0.3019,0.2065,0.0044,0.0762,0.0422,0.115,0.1964,0.477,0.0001,0.0002,0.1468,0.0726,0.0002,0.5969,0.7507,0.0203,0.1606,0.4641,0.0038,0.0159,0.0032,0.0348
Haskell,0.2191,0.2191,0.0277,0.0,0.9696,0.9395,0.2195,0.9946,0.1508,0.0,0.0,0.0,0.0,0.0,0.1775,0.0,0.2198,0.0457,0.0133,0.0384,0.4908,0.0016,0.0,0.0002,0.0,0.0,0.0,0.6388,0.0,0.0,0.1415,0.5072,0.0416,0.0,0.0,0.0,0.0,0.0,0.0,0.9176,0.1085,0.0,0.0,0.0988,0.0346,0.793,0.0007,0.6053,0.0203,0.0,0.3461,0.1633,0.3774,0.0189,0.676,0.8415,0.0896,0.2202,0.0,0.7035,0.5196,0.3273,0.0034,0.7209,0.6637,0.0002,0.0,0.0163,0.8789,0.0118,0.0007,0.2035,0.0788,0.0,0.1218,0.128,0.0065,0.0,0.0429,0.0001
Delphi,0.0296,0.0296,0.0811,0.0,0.0469,0.0393,0.0189,0.0042,0.9672,0.0003,0.0,0.0,0.8538,0.0653,0.0142,0.0013,0.0327,0.0,0.5836,0.1893,0.0192,0.0841,0.0208,0.7475,0.7013,0.9467,0.6388,0.0,0.7569,0.9436,0.1287,0.0002,0.8651,0.5675,0.0011,0.2435,0.0128,0.5013,0.9817,0.084,0.0,0.0001,0.0001,0.1764,0.0298,0.0924,0.0,0.0,0.6659,0.0022,0.1403,0.0081,0.6688,0.0056,0.0001,0.0232,0.024,0.0144,0.2277,0.1887,0.0113,0.3678,0.0117,0.012,0.1294,0.5378,0.2607,0.1772,0.9571,0.1403,0.0012,0.1792,0.0,0.0963,0.6557,0.6214,0.2117,0.9936,0.8943,0.0007
Go,0.0056,0.0056,0.0,0.0,0.8889,0.0221,0.0,0.178,0.0053,0.0,0.0,0.0,0.3983,0.0,0.0,0.0,0.3286,0.0,0.0,0.0,0.4888,0.0,0.0,0.4431,0.0004,0.8015,0.0,0.7569,0.0,0.0001,0.0,0.0,0.0,0.7506,0.6839,0.0,0.0053,0.0,0.0,0.0001,0.0726,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.0546,0.0,0.5727,0.0217,0.2295,0.0343,0.0,0.0,0.0004,0.0,0.0,0.6812,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0396,0.0173,0.2928,0.0,0.0,0.0,0.1625,0.0053
Scala,0.2291,0.2291,0.0,0.6897,0.0081,0.0693,0.4181,0.0009,0.5717,0.0,0.0367,0.3865,0.0,0.0,0.0237,0.0,0.0047,0.0,0.0,0.1856,0.2533,0.0539,0.1908,0.699,0.0002,0.0019,0.0,0.9436,0.0001,0.0,0.7138,0.5448,0.0,0.0,0.2357,0.0,0.1198,0.0195,0.0006,0.465,0.0122,0.0,0.0231,0.0,0.0,0.0,0.0004,0.0065,0.0002,0.5048,0.0,0.005,0.1758,0.0,0.0173,0.0389,0.243,0.3123,0.0015,0.6059,0.0276,0.8393,0.0516,0.675,0.5837,0.5473,0.0038,0.0,0.0,0.018,0.0,0.5074,0.9134,0.6511,0.2481,0.0,0.0001,0.1908,0.6305,0.0098
Dart,0.6105,0.6105,0.0568,0.1251,0.0011,0.0,0.0,0.0527,0.0,0.0881,0.1188,0.0026,0.9234,0.018,0.0,0.1826,0.2975,0.0101,0.0,0.0,0.934,0.0547,0.2998,0.2302,0.0,0.2419,0.1415,0.1287,0.0,0.7138,0.0,0.8729,0.6776,0.4829,0.0668,0.3454,0.1423,0.1068,0.5138,0.1487,0.8541,0.1947,0.0,0.3894,0.0008,0.0381,0.648,0.1336,0.0,0.1238,0.1858,0.023,0.0,0.7723,0.8564,0.0,0.0,0.0,0.9409,0.0014,0.0641,0.0,0.0016,0.3555,0.2212,0.0727,0.019,0.0054,0.5854,0.0,0.176,0.0708,0.0904,0.0,0.0474,0.1219,0.0,0.0002,0.9175,0.1423
VBA,0.1254,0.1254,0.0,0.0258,0.0002,0.89,0.5572,0.0,0.3926,0.2369,0.0001,0.0669,0.0,0.0006,0.0111,0.5871,0.0,0.0,0.8568,0.0139,0.0,0.0,0.0149,0.0,0.0016,0.9074,0.5072,0.0002,0.0,0.5448,0.8729,0.0,0.3192,0.0088,0.1603,0.1077,0.0,0.002,0.3943,0.0001,0.0,0.0,0.0,0.0071,0.0,0.0001,0.0,0.0,0.8471,0.296,0.0185,0.3339,0.9882,0.9433,0.0,0.5178,0.0391,0.0314,0.0809,0.6368,0.0,0.0543,0.0,0.0015,0.0,0.5405,0.6247,0.0,0.1178,0.9133,0.0,0.2153,0.0007,0.0265,0.0,0.0,0.5668,0.001,0.0676,0.7238
Groovy,0.7664,0.7664,0.0,0.4049,0.7704,0.1874,0.2099,0.0554,0.1031,0.0,0.1022,0.1271,0.8279,0.7255,0.0122,0.0,0.0085,0.0001,0.0,0.0,0.0032,0.2202,0.0045,0.7708,0.0,0.3348,0.0416,0.8651,0.0,0.0,0.6776,0.3192,0.0,0.6165,0.0193,0.5658,0.3952,0.8217,0.114,0.9809,0.002,0.0,0.0121,0.0,0.0,0.0053,0.6025,0.0,0.0001,0.2729,0.0,0.0012,0.5985,0.0,0.0021,0.0282,0.8762,0.0029,0.0005,0.0488,0.2723,0.1527,0.1214,0.0012,0.1101,0.7886,0.2243,0.0002,0.0,0.5916,0.0,0.3544,0.5436,0.2019,0.8291,0.0,0.0039,0.1111,0.0561,0.0902
Clojure,0.0,0.0,0.0,0.0,0.0,0.0007,0.959,0.0092,0.3519,0.0638,0.3826,0.0158,0.9366,0.0062,0.0273,0.0038,0.0176,0.0,0.0001,0.0579,0.0,0.0852,0.5458,0.1328,0.6766,0.1693,0.0,0.5675,0.7506,0.0,0.4829,0.0088,0.6165,0.0,0.0,0.0,0.0,0.0012,0.0,0.9581,0.7984,0.0,0.3923,0.0,0.0745,0.002,0.0,0.4171,0.7816,0.413,0.0,0.5363,0.4208,0.0,0.4151,0.3438,0.4662,0.0001,0.5952,0.0018,0.0,0.0055,0.0,0.0086,0.9409,0.8497,0.8304,0.0,0.6767,0.1463,0.0,0.9521,0.1256,0.0092,0.0,0.0,0.0337,0.0003,0.0583,0.6419
APL,0.0987,0.0987,0.0003,0.5643,0.0761,0.1046,0.03,0.2932,0.0477,0.0808,0.0466,0.0924,0.0202,0.0909,0.6976,0.271,0.6396,0.2207,0.9596,0.1197,0.4123,0.0502,0.0761,0.0105,0.3726,0.0,0.0,0.0011,0.6839,0.2357,0.0668,0.1603,0.0193,0.0,0.0,0.0,0.0,0.0238,0.2039,0.0,0.0118,0.7536,0.8114,0.6801,0.2444,0.3774,0.5036,0.7206,0.002,0.0514,0.3027,0.2876,0.9129,0.0,0.0042,0.4251,0.0156,0.6997,0.3266,0.9177,0.9864,0.7481,0.7663,0.3385,0.1966,0.0738,0.0065,0.5321,0.8752,0.0721,0.4218,0.3557,0.0938,0.7642,0.7308,0.2144,0.1647,0.3592,0.1611,0.0092
